"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total Area","Pop - Males","Pop - Females"
"West Humber-Clairville",1.0,"N/A",33312.0,30.09,16625.0,16690.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32954.0,4.6,16070.0,16890.0
"Thistletown-Beaumond Heights",3.0,"N/A",10360.0,3.4,5055.0,5300.0
"Rexdale-Kipling",4.0,"N/A",10529.0,2.5,5130.0,5395.0
"Elms-Old Rexdale",5.0,"N/A",9456.0,2.9,4520.0,4935.0
"Kingsview Village-The Westway",6.0,"N/A",22000.0,5.1,10575.0,11420.0
"Willowridge-Martingrove-Richview",7.0,"N/A",22156.0,5.5,10635.0,11515.0
"Humber Heights-Westmount",8.0,"N/A",10948.0,2.8,4895.0,6060.0
"Edenbridge-Humber Valley",9.0,"N/A",15535.0,5.5,7305.0,8235.0
"Princess-Rosethorn",10.0,"N/A",11051.0,5.2,5430.0,5620.0
"Eringate-Centennial-West Deane",11.0,"N/A",18588.0,8.6,8915.0,9670.0
"Markland Wood",12.0,"N/A",10554.0,2.9,4920.0,5635.0
"Etobicoke West Mall",13.0,"N/A",11848.0,1.7,5630.0,6220.0
"Islington-City Centre West",14.0,"N/A",43965.0,16.4,20950.0,23020.0
"Kingsway South",15.0,"N/A",9271.0,2.6,4340.0,4930.0
"Stonegate-Queensway",16.0,"N/A",25051.0,7.9,12255.0,12795.0
"Mimico",17.0,"N/A",33964.0,6.9,16525.0,17430.0
"New Toronto",18.0,"N/A",11463.0,3.5,5560.0,5750.0
"Long Branch",19.0,"N/A",10084.0,2.3,5010.0,5070.0
"Alderwood",20.0,"N/A",12054.0,5.0,5885.0,6165.0
"Humber Summit",21.0,"N/A",12416.0,7.9,6035.0,6385.0
"Humbermede",22.0,"N/A",15545.0,4.4,7475.0,8070.0
"Pelmo Park-Humberlea",23.0,"N/A",10722.0,4.2,5165.0,5560.0
"Black Creek",24.0,"N/A",21737.0,3.4,10145.0,11595.0
"Glenfield-Jane Heights",25.0,"N/A",30491.0,5.2,14250.0,16245.0
"Downsview-Roding-CFB",26.0,"N/A",35052.0,14.9,16835.0,18225.0
"York University Heights",27.0,"N/A",27593.0,13.2,13650.0,13940.0
"Rustic",28.0,"N/A",9941.0,2.1,4450.0,5485.0
"Maple Leaf",29.0,"N/A",10111.0,2.5,4850.0,5260.0
"Brookhaven-Amesbury",30.0,"N/A",17757.0,3.5,8225.0,9535.0
"Yorkdale-Glen Park",31.0,"N/A",14804.0,5.9,6865.0,7945.0
"Englemount-Lawrence",32.0,"N/A",22372.0,3.6,9860.0,12515.0
"Clanton Park",33.0,"N/A",16472.0,4.2,7815.0,8660.0
"Bathurst Manor",34.0,"N/A",15873.0,4.8,7510.0,8370.0
"Westminster-Branson",35.0,"N/A",26274.0,3.7,12060.0,14215.0
"Newtonbrook West",36.0,"N/A",23831.0,4.7,11230.0,12595.0
"Willowdale West",37.0,"N/A",16936.0,2.9,7990.0,8945.0
"Lansing-Westgate",38.0,"N/A",16164.0,5.4,7680.0,8490.0
"Bedford Park-Nortown",39.0,"N/A",23236.0,5.5,10845.0,12390.0
"St.Andrew-Windfields",40.0,"N/A",17812.0,7.3,8525.0,9290.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",9266.0,8.8,4460.0,4810.0
"Banbury-Don Mills",42.0,"N/A",27695.0,10.0,12825.0,14875.0
"Victoria Village",43.0,"N/A",17510.0,4.7,8110.0,9405.0
"Flemingdon Park",44.0,"N/A",21933.0,2.5,10535.0,11385.0
"Parkwoods-Donalda",45.0,"N/A",34805.0,7.5,16455.0,18350.0
"Pleasant View",46.0,"N/A",15818.0,3.0,7600.0,8225.0
"Don Valley Village",47.0,"N/A",27051.0,4.1,12880.0,14160.0
"Hillcrest Village",48.0,"N/A",16934.0,5.3,7925.0,9005.0
"Bayview Woods-Steeles",49.0,"N/A",13154.0,4.1,6025.0,7125.0
"Newtonbrook East",50.0,"N/A",16097.0,4.1,7600.0,8500.0
"Willowdale East",51.0,"N/A",50434.0,5.0,23680.0,26740.0
"Bayview Village",52.0,"N/A",21396.0,5.2,10030.0,11360.0
"Henry Farm",53.0,"N/A",15723.0,2.6,7685.0,8045.0
"O'Connor-Parkview",54.0,"N/A",18675.0,4.9,9015.0,9660.0
"Thorncliffe Park",55.0,"N/A",21108.0,3.1,10305.0,10810.0
"Leaside-Bennington",56.0,"N/A",16828.0,4.8,8020.0,8810.0
"Broadview North",57.0,"N/A",11499.0,1.7,5460.0,6040.0
"Old East York",58.0,"N/A",9233.0,2.3,4545.0,4680.0
"Danforth-East York",59.0,"N/A",17180.0,2.2,8245.0,8920.0
"Woodbine-Lumsden",60.0,"N/A",7865.0,1.2,3825.0,4045.0
"Taylor-Massey",61.0,"N/A",15683.0,1.1,7710.0,7975.0
"East End-Danforth",62.0,"N/A",21381.0,2.6,10260.0,11115.0
"The Beaches",63.0,"N/A",21567.0,3.6,10235.0,11325.0
